Juan,45,hoy,Chapin,Portero,Rojos Cremas,0,0,0,0,0,0,0,0
Joe Ralls,29,1993/10/13,England,Midfielder,Cardiff City,1959,0,0,0,0,1,5,1
Joel Coleman,27,1995/09/26,England,Goalkeeper,Huddersfield Town,90,0,0,0,0,0,0,0
Joel Matip,31,1991/08/08,Cameroon,Defender,Liverpool,1532,0,0,1,0,0,3,0
Joel Ward,32,1989/10/29,England,Defender,Crystal Palace,551,0,0,1,0,0,1,0
Johann Berg Guðmunds­son,32,1990/10/27,Iceland,Midfielder,Burnley,1748,6,0,3,0,0,2,0
John Ruddy,36,1986/10/24,England,Goalkeeper,Wolverhampton Wanderers,90,0,0,0,0,0,0,0
John Stones,28,1994/05/28,England,Defender,Manchester City,1762,0,0,0,0,0,1,0
Jon Gorenc Stankovič,26,1996/01/14,Slovenia,Defender,Huddersfield Town,718,0,0,1,0,0,2,0
Jonas Lössl,33,1989/02/01,Denmark,Goalkeeper,Huddersfield Town,2777,1,0,0,0,0,1,0
Jonathan Hogg,33,1988/12/06,England,Midfielder,Huddersfield Town,2377,1,0,0,0,0,9,1
Jonathan Walters,39,1983/09/20,Republic of Ireland,Forward,Burnley,0,0,0,0,0,0,0,0
Jonjo Shelvey,30,1992/02/27,England,Midfielder,Newcastle United,944,1,0,1,0,0,1,0
Jonjoe Kenny,25,1997/03/15,England,Defender,Everton,790,1,0,0,0,0,1,0
Jonny,28,1994/03/03,Spain,Defender,Wolverhampton Wanderers,2780,1,0,1,0,0,6,0
Jonny Evans,34,1988/01/03,Northern Ireland,Defender,Leicester City,1995,0,0,1,0,0,2,0
Jordan Ayew,31,1991/09/11,Ghana,Forward,Crystal Palace,1186,2,0,1,0,0,3,0
Jordan Henderson,32,1990/06/17,England,Midfielder,Liverpool,1983,3,0,1,0,0,3,1
Jordan Pickford,28,1994/03/07,England,Goalkeeper,Everton,3420,0,0,0,0,0,1,0
Jordon Ibe,26,1995/12/08,England,Midfielder,AFC Bournemouth,795,1,0,1,0,0,1,0
Jorginho,30,1991/12/20,Italy,Midfielder,Chelsea,3165,0,0,2,1,0,8,0
José Diogo Dalot Teixeira,23,1999/03/18,Portugal,Defender,Manchester United,1015,2,0,0,0,0,3,0
José Holebas,38,1984/06/27,Greece,Defender,Watford,2394,6,0,3,0,0,13,1
Jose Izquierdo,30,1992/07/07,Colombia,Forward,Brighton & Hove Albion,794,1,0,0,0,0,1,0
José Luis Sanmartín Mato,32,1990/03/27,Spain,Forward,Newcastle United,586,0,0,2,0,0,1,0
Joseph Willock,23,1999/08/20,England,Midfielder,Arsenal,64,0,0,0,0,0,0,0
Josh Benson,22,1999/12/05,England,Midfielder,Burnley,0,0,0,0,0,0,0,0
Josh Knight,25,1997/09/07,England,Defender,Leicester City,0,0,0,0,0,0,0,0
Josh Murphy,27,1995/02/24,England,Forward,Cardiff City,1825,2,0,3,0,0,2,0
Joshua King,30,1992/01/15,Norway,Forward,AFC Bournemouth,2974,3,0,12,5,1,3,0
Joshua Sims,25,1997/03/28,England,Midfielder,Southampton,209,1,0,0,0,0,0,0
Juan Marcos Foyth,24,1998/01/12,Argentina,Defender,Tottenham Hotspur,930,0,0,1,0,0,4,1
Juan Mata,34,1988/04/28,Spain,Midfielder,Manchester United,1294,2,0,3,0,0,3,0
Julián Speroni,43,1979/05/18,Argentina,Goalkeeper,Crystal Palace,90,0,0,0,0,0,0,0
Juninho Bacuna,25,1997/08/07,Netherlands,Midfielder,Huddersfield Town,1414,0,0,1,0,0,4,0
Junior Stanislas,32,1989/11/26,England,Midfielder,AFC Bournemouth,1027,3,0,2,1,0,1,0
Jürgen Locadia,28,1993/11/07,Netherlands,Forward,Brighton & Hove Albion,1227,0,0,2,0,0,1,0
Kadeem Harris,29,1993/06/08,England,Midfielder,Cardiff City,366,0,0,1,0,0,1,0
Karl Darlow,32,1990/10/08,England,Goalkeeper,Newcastle United,0,0,0,0,0,0,0,0
Karlan Ahearne Grant,24,1997/12/19,England,Forward,Huddersfield Town,874,0,0,4,0,0,0,0
Kasper Schmeichel,35,1986/11/05,Denmark,Goalkeeper,Leicester City,3420,0,0,0,0,0,3,0
Kayne Ramsey,22,2000/10/10,England,Midfielder,Southampton,90,0,0,0,0,0,0,0
Kazaiah Sterling,23,1998/11/09,England,Forward,Tottenham Hotspur,0,0,0,0,0,0,0,0
Kelechi Iheanacho,26,1996/10/03,Nigeria,Forward,Leicester City,926,3,0,1,0,0,2,0
Kelland Watts,23,1999/11/03,England,Midfielder,Newcastle United,0,0,0,0,0,0,0,0
Ken Sema,29,1993/09/30,Sweden,Midfielder,Watford,755,2,0,1,0,0,1,0
Kenneth Dahrup Zohorè,28,1994/01/31,Denmark,Forward,Cardiff City,746,1,0,1,0,0,1,0
Kepa Arrizabalaga,28,1994/10/03,Spain,Goalkeeper,Chelsea,3240,0,0,0,0,0,2,0
Kevin De Bruyne,31,1991/06/28,Belgium,Midfielder,Manchester City,974,2,0,2,0,0,2,0
Kevin Long,32,1990/08/18,Republic of Ireland,Defender,Burnley,513,1,0,0,0,0,0,0
Kevin McDonald,33,1988/11/04,Scotland,Midfielder,Fulham,842,0,0,0,0,0,6,1
Kieran Dowell,25,1997/10/10,England,Midfielder,Everton,0,0,0,0,0,0,0,0
Kieran Trippier,32,1990/09/19,England,Defender,Tottenham Hotspur,2278,3,0,1,0,0,2,0
Konstantinos Mavropanos,24,1997/12/11,Greece,Defender,Arsenal,150,0,0,0,0,0,1,0
Kortney Hause,27,1995/07/16,England,Defender,Wolverhampton Wanderers,0,0,0,0,0,0,0,0
Kurt Zouma,28,1994/10/27,France,Defender,Everton,2610,2,0,2,0,0,5,1
Kyle Taylor,23,1999/08/28,England,Midfielder,AFC Bournemouth,0,0,0,0,0,0,0,0
Kyle Walker,32,1990/05/28,England,Defender,Manchester City,2777,1,0,1,0,0,3,0
Kyle Walker Peters,25,1997/04/13,England,Defender,Tottenham Hotspur,374,3,0,0,0,0,1,0
Laurent Depoitre,33,1988/12/07,Belgium,Forward,Huddersfield Town,1059,1,0,0,0,0,1,0
Laurent Koscielny,37,1985/09/10,France,Defender,Arsenal,1328,0,0,3,0,0,1,0
Lazar Marković,28,1994/03/02,Serbia,Midfielder,Fulham,44,0,0,0,0,0,0,0
Leander Dendoncker,27,1995/04/15,Belgium,Midfielder,Wolverhampton Wanderers,1469,0,0,2,0,0,1,0
Leandro Bacuna,31,1991/08/21,Curaçao,Midfielder,Cardiff City,554,0,0,0,0,0,2,0
Lee Grant,39,1983/01/27,England,Goalkeeper,Manchester United,0,0,0,0,0,0,0,0
Lee Peltier,35,1986/12/11,England,Defender,Cardiff City,1542,0,0,0,0,0,4,0
Leighton Baines,37,1984/12/11,England,Defender,Everton,376,0,0,0,0,0,0,0
Leon Balogun,34,1988/06/28,Nigeria,Defender,Brighton & Hove Albion,591,0,0,1,0,0,2,0
Leonardo Bonatini Lohner Maia,28,1994/03/28,Brazil,Forward,Wolverhampton Wanderers,128,1,0,0,0,0,0,0
Leroy Sané,26,1996/01/11,Germany,Midfielder,Manchester City,1867,10,0,10,0,0,1,0
Lewis Cass,22,2000/02/27,England,Defender,Newcastle United,0,0,0,0,0,0,0,0
Lewis Cook,25,1997/02/03,England,Midfielder,AFC Bournemouth,721,0,0,0,0,0,2,0
Lewis Dunk,30,1991/11/21,England,Defender,Brighton & Hove Albion,3153,1,0,2,0,0,7,1
Loïc Damour,31,1991/01/08,France,Midfielder,Cardiff City,21,0,0,0,0,0,0,0
Loris Karius,29,1993/06/22,Germany,Goalkeeper,Liverpool,0,0,0,0,0,0,0,0
Luca de la Torre,24,1998/05/23,USA,Midfielder,Fulham,0,0,0,0,0,0,0,0
Lucas Digne,29,1993/07/20,France,Defender,Everton,2990,4,0,4,0,0,6,1
Lucas Perez,34,1988/09/10,Spain,Forward,West Ham United,468,0,0,3,0,0,0,0
Lucas Rodrigues Moura da Silva,30,1992/08/13,Brazil,Midfielder,Tottenham Hotspur,2127,0,0,10,0,0,3,0
Lucas Torreira,26,1996/02/11,Uruguay,Midfielder,Arsenal,2377,2,0,2,0,0,8,1
Luciano Vietto,28,1993/12/05,Argentina,Forward,Fulham,983,4,0,1,0,0,1,0
Luka Milivojević,31,1991/04/07,Serbia,Midfielder,Crystal Palace,3420,2,0,12,10,1,10,0
Luke Amos,25,1997/02/23,England,Midfielder,Tottenham Hotspur,2,0,0,0,0,0,0,0
Luke Dreher,23,1998/11/27,England,Midfielder,Crystal Palace,0,0,0,0,0,0,0,0
Luke Shaw,27,1995/07/12,England,Defender,Manchester United,2592,4,0,1,0,0,11,0
Lys Mousset,26,1996/02/08,France,Forward,AFC Bournemouth,345,0,0,1,0,0,1,0
Maarten Stekelenburg,40,1982/09/22,Netherlands,Goalkeeper,Everton,0,0,0,0,0,0,0,0
Mamadou Sakho,32,1990/02/13,France,Defender,Crystal Palace,2417,0,0,0,0,0,2,0
Manolo Gabbiadini,30,1991/11/26,Italy,Forward,Southampton,470,0,0,1,0,0,0,0
Manuel Lanzini,29,1993/02/15,Argentina,Midfielder,West Ham United,688,1,0,1,0,0,2,0
Marc Albrighton,32,1989/11/18,England,Midfielder,Leicester City,1626,2,0,2,0,0,3,0
Marc Guehi,22,2000/07/13,England,Defender,Chelsea,0,0,0,0,0,0,0,0
Marc Navarro Ceciliano,27,1995/07/02,Spain,Defender,Watford,84,0,0,0,0,0,0,0
Marc Pugh,35,1987/04/02,England,Midfielder,AFC Bournemouth,0,0,0,0,0,0,0,0
Marcos Alonso,31,1990/12/28,Spain,Defender,Chelsea,2761,4,0,2,0,0,6,0
Marcus Bettinelli,30,1992/05/24,England,Goalkeeper,Fulham,630,0,0,0,0,0,1,0
Marcus Rashford,25,1997/10/31,England,Forward,Manchester United,2362,6,0,10,0,0,4,1
Mario Lemina,29,1993/09/01,Gabon,Midfielder,Southampton,1615,1,0,1,0,0,5,0
Mark Noble,35,1987/05/08,England,Midfielder,West Ham United,2308,5,0,5,4,0,7,1
Mark Travers,23,1999/05/18,Republic of Ireland,Goalkeeper,AFC Bournemouth,180,0,0,0,0,0,0,0
Marko Arnautović,33,1989/04/19,Austria,Forward,West Ham United,2000,4,0,10,1,0,3,0
Markus Suttner,35,1987/04/16,Austria,Defender,Brighton & Hove Albion,0,0,0,0,0,0,0,0
Marouane Fellaini,34,1987/11/22,Belgium,Midfielder,Manchester United,744,1,0,0,0,0,1,0
Martin Dúbravka,33,1989/01/15,Slovakia,Goalkeeper,Newcastle United,3420,0,0,0,0,0,1,0
Martin Kelly,32,1990/04/27,England,Defender,Crystal Palace,1110,0,0,0,0,0,2,0
Martín Montoya,31,1991/04/14,Spain,Defender,Brighton & Hove Albion,2166,1,0,0,0,0,4,0
Mason Greenwood,21,2001/10/01,England,Midfielder,Manchester United,115,0,0,0,0,0,0,0
Mason Holgate,26,1996/10/22,England,Defender,Everton,407,0,0,0,0,0,1,0
Matěj Vydra,30,1992/05/01,Czech Republic,Forward,Burnley,311,1,0,1,0,0,1,0
Mateo Kovačić,28,1994/05/06,Croatia,Midfielder,Chelsea,1743,2,0,0,0,0,3,0
Mathew Ryan,30,1992/04/08,Australia,Goalkeeper,Brighton & Hove Albion,3060,0,0,0,0,0,2,0
Mathias Jattah Njie Jørgensen,32,1990/04/23,Denmark,Defender,Huddersfield Town,2148,1,0,3,0,0,6,0
Matt Butcher,25,1997/05/14,England,Midfielder,AFC Bournemouth,0,0,0,0,0,0,0,0
Matt Doherty,30,1992/01/16,Republic of Ireland,Defender,Wolverhampton Wanderers,3147,5,0,4,0,0,5,0
Matt Ritchie,33,1989/09/10,Scotland,Midfielder,Newcastle United,2940,8,0,2,1,1,9,0
Matt Targett,27,1995/09/18,England,Defender,Southampton,1185,3,0,1,0,0,2,0
Matteo Darmian,32,1989/12/02,Italy,Defender,Manchester United,443,0,0,0,0,0,0,0
Mattéo Guendouzi Olié,23,1999/04/14,France,Midfielder,Arsenal,2143,0,0,0,0,0,9,0
Matthew Connolly,35,1987/09/24,England,Defender,Cardiff City,0,0,0,0,0,0,0,0
Matthew Lowton,33,1989/06/09,England,Defender,Burnley,1748,0,0,0,0,0,7,0
Matty Daly,21,2001/03/10,England,Midfielder,Huddersfield Town,73,0,0,0,0,0,0,0
Max Harrison Sanders,23,1999/01/04,England,Midfielder,Brighton & Hove Albion,0,0,0,0,0,0,0,0
Max Kilman,25,1997/05/23,England,Defender,Wolverhampton Wanderers,0,0,0,0,0,0,0,0
Max Meyer,27,1995/09/18,Germany,Midfielder,Crystal Palace,1414,2,0,1,0,0,3,0
Maxime Le Marchand,33,1989/10/11,France,Defender,Fulham,2251,1,0,0,0,0,5,0
Maya Yoshida,34,1988/08/24,Japan,Defender,Southampton,1520,1,0,0,0,0,0,0
Mesut Özil,34,1988/10/15,Germany,Midfielder,Arsenal,1741,2,0,5,0,0,2,0
Michael Keane,29,1993/01/11,England,Defender,Everton,2970,2,0,1,0,0,2,0
Michael Obafemi,22,2000/07/06,Republic of Ireland,Forward,Southampton,134,1,0,1,0,0,1,0
Michail Antonio,32,1990/03/28,England,Midfielder,West Ham United,2099,4,0,6,0,0,3,0
Michel Vorm,39,1983/10/20,Netherlands,Goalkeeper,Tottenham Hotspur,180,0,0,0,0,0,0,0
Michy Batshuayi,29,1993/10/02,Belgium,Forward,Crystal Palace,756,0,0,5,0,0,0,0
Miguel Ángel Almirón Rejala,28,1994/02/10,Paraguay,Midfielder,Newcastle United,763,0,0,0,0,0,0,0
Miguel Ángel Britos Cabrera,37,1985/07/17,Uruguay,Defender,Watford,185,0,0,0,0,0,0,0
Mohamed Diamé,35,1987/06/14,Senegal,Midfielder,Newcastle United,2165,0,0,0,0,0,3,0
Mohamed Elneny,30,1992/07/11,Egypt,Midfielder,Arsenal,381,0,0,0,0,0,0,0
Mohamed Elyounoussi,28,1994/08/04,Norway,Midfielder,Southampton,790,0,0,0,0,0,0,0
Mohamed Salah,30,1992/06/15,Egypt,Forward,Liverpool,3262,8,0,22,3,0,1,0
Morgan Gibbs White,22,2000/01/27,England,Midfielder,Wolverhampton Wanderers,647,1,0,0,0,0,1,0
Morgan Schneiderlin,32,1989/11/08,France,Midfielder,Everton,833,1,0,0,0,0,2,0
Moussa Dembele,35,1987/07/16,Belgium,Midfielder,Tottenham Hotspur,516,0,0,0,0,0,1,0
Moussa Sissoko,33,1989/08/16,France,Midfielder,Tottenham Hotspur,2336,3,0,0,0,0,2,0
N'Golo Kanté,31,1991/03/29,France,Midfielder,Chelsea,3096,4,0,4,0,0,3,0
Naby Deco Keïta,27,1995/02/10,Guinea,Midfielder,Liverpool,1392,1,0,2,0,0,0,0
Nacho Monreal,36,1986/02/26,Spain,Defender,Arsenal,1861,3,0,1,0,0,5,0
Nampalys Mendy,30,1992/06/23,France,Midfielder,Leicester City,2088,0,0,0,0,0,5,0
Nathan Aké,27,1995/02/18,Netherlands,Defender,AFC Bournemouth,3412,0,0,4,0,0,3,0
Nathan Holland,24,1998/06/19,England,Midfielder,West Ham United,0,0,0,0,0,0,0,0
Nathan Redmond,28,1994/03/06,England,Midfielder,Southampton,3276,4,0,6,0,0,3,0
Nathaniel Chalobah,27,1994/12/12,England,Midfielder,Watford,266,0,0,0,0,0,2,0
Nathaniel Clyne,31,1991/04/05,England,Defender,AFC Bournemouth,1254,1,0,0,0,0,2,0
Nathaniel Mendez Laing,30,1992/04/15,England,Midfielder,Cardiff City,984,1,0,4,1,0,0,0
Neeskens Kebano,30,1992/03/10,Congo DR,Midfielder,Fulham,103,0,0,0,0,0,0,0
Neil Leonard Dula Etheridge,32,1990/02/07,Philippines,Goalkeeper,Cardiff City,3420,0,0,0,0,0,2,0
Nemanja Matić,34,1988/08/01,Serbia,Midfielder,Manchester United,2441,0,0,1,0,0,8,1
Nicolas Otamendi,34,1988/02/12,Argentina,Defender,Manchester City,1233,0,0,0,0,0,1,0
Nikola Tavares,23,1999/01/17,England,Defender,Crystal Palace,0,0,0,0,0,0,0,0
Nnamdi Ofoborh,22,1999/11/07,England,Midfielder,AFC Bournemouth,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,25,1996/12/15,Ukraine,Midfielder,Manchester City,1153,3,0,0,0,0,1,0
Oliver Skipp,22,2000/09/16,England,Midfielder,Tottenham Hotspur,216,0,0,0,0,0,0,0
Olivier Giroud,36,1986/09/30,France,Forward,Chelsea,832,4,0,2,0,0,1,0
Onyinye Wilfred Ndidi,25,1996/12/16,Nigeria,Midfielder,Leicester City,3299,0,0,2,0,0,8,0
Oriol Romeu,31,1991/09/24,Spain,Midfielder,Southampton,2140,0,0,1,0,0,11,0
Oumar Niasse,32,1990/04/18,Senegal,Forward,Cardiff City,998,0,0,0,0,0,0,0
Pablo Zabaleta,37,1985/01/16,Argentina,Defender,West Ham United,2092,1,0,0,0,0,4,0
Pape N'Diaye Souaré,32,1990/06/06,Senegal,Defender,Crystal Palace,0,0,0,0,0,0,0,0
Pascal Groß,31,1991/06/15,Germany,Midfielder,Brighton & Hove Albion,1878,3,0,3,1,1,1,0
Patrick van Aanholt,32,1990/08/29,Netherlands,Defender,Crystal Palace,3198,2,0,3,0,0,3,0
Paul Dummett,31,1991/09/26,Wales,Defender,Newcastle United,1986,0,0,0,0,0,1,0
Paul Pogba,29,1993/03/15,France,Midfielder,Manchester United,3011,9,0,13,7,3,6,0
Paulo Dino Gazzaniga,30,1992/01/02,Argentina,Goalkeeper,Tottenham Hotspur,270,0,0,0,0,0,0,0
Pedro Obiang,30,1992/03/27,Equatorial Guinea,Midfielder,West Ham United,1121,1,0,0,0,0,0,0
Pedro Rodriguez,35,1987/07/28,Spain,Midfielder,Chelsea,1780,2,0,8,0,0,2,0
Peter Crouch,41,1981/01/30,England,Forward,Burnley,86,0,0,0,0,0,1,0
Petr Čech,40,1982/05/20,Czech Republic,Goalkeeper,Arsenal,585,0,0,0,0,0,0,0
Phil Bardsley,37,1985/06/28,Scotland,Defender,Burnley,1672,0,0,0,0,0,9,0
Phil Jagielka,40,1982/08/17,England,Defender,Everton,329,0,0,1,0,0,1,1
Phil Jones,30,1992/02/21,England,Defender,Manchester United,1263,1,0,0,0,0,1,0
Philip Billing,26,1996/06/11,Denmark,Midfielder,Huddersfield Town,2192,0,0,2,0,0,7,0
Philip Foden,22,2000/05/28,England,Midfielder,Manchester City,327,0,0,1,0,0,0,0
Philippe Sandler,25,1997/02/10,Netherlands,Defender,Manchester City,0,0,0,0,0,0,0,0
Pierre Emerick Aubameyang,33,1989/06/18,Gabon,Forward,Arsenal,2731,5,0,22,4,1,0,0
Pierre Emile Højbjerg,27,1995/08/05,Denmark,Midfielder,Southampton,2764,3,0,4,0,0,10,2
Rachid Ghezzal,30,1992/05/09,Algeria,Forward,Leicester City,738,0,0,1,0,0,3,0
Rafael Euclides Soares Camacho,22,2000/05/22,Portugal,Midfielder,Liverpool,0,0,0,0,0,0,0,0
Raheem Sterling,27,1994/12/08,England,Forward,Manchester City,2777,10,0,17,0,0,3,0
Rajiv van La Parra,31,1991/06/04,Netherlands,Midfielder,Huddersfield Town,407,0,0,0,0,0,0,0
Ramadan Sobhi,25,1997/01/23,Egypt,Forward,Huddersfield Town,75,0,0,0,0,0,0,0
Raúl Alonso Jiménez Rodríguez,31,1991/05/05,Mexico,Forward,Wolverhampton Wanderers,3124,7,0,13,2,0,4,0
Rhys Healey,27,1994/12/06,England,Forward,Cardiff City,49,0,0,0,0,0,0,0
Ricardo Domingos Barbosa Pereira,29,1993/10/06,Portugal,Defender,Leicester City,3125,6,0,2,0,0,7,0
Richarlison de Andrade,25,1997/05/10,Brazil,Forward,Everton,2679,1,0,13,0,0,6,1
Riyad Mahrez,31,1991/02/21,Algeria,Midfielder,Manchester City,1339,4,0,7,0,1,0,0
Rob Holding,27,1995/09/20,England,Defender,Arsenal,807,0,0,0,0,0,1,0
Robbie Brady,30,1992/01/14,Republic of Ireland,Midfielder,Burnley,715,1,0,0,0,0,4,1
Robert Kenedy Nunes do Nascimento,26,1996/02/08,Brazil,Midfielder,Newcastle United,1344,1,0,1,0,1,1,0
Robert Snodgrass,35,1987/09/07,Scotland,Midfielder,West Ham United,2222,5,0,2,0,0,10,0
Roberto Firmino,31,1991/10/02,Brazil,Forward,Liverpool,2620,6,0,12,1,0,0,0
Roberto Maximiliano Pereyra,31,1991/01/07,Argentina,Forward,Watford,2825,1,0,6,0,0,3,0
Romain Saïss,32,1990/03/26,Morocco,Midfielder,Wolverhampton Wanderers,1144,0,0,2,0,0,7,0
Romelu Lukaku,29,1993/05/13,Belgium,Forward,Manchester United,2130,0,0,12,0,0,4,0
Rondon,33,1989/09/16,Venezuela,Forward,Newcastle United,2609,7,0,11,0,0,1,0
Ross Barkley,28,1993/12/05,England,Midfielder,Chelsea,1241,5,0,3,0,0,1,0
Rúben Diogo Da Silva Neves,25,1997/03/13,Portugal,Midfielder,Wolverhampton Wanderers,3009,3,0,4,2,0,8,0
Rúben Gonçalo Silva Nascimento Vinagre,23,1999/04/09,Portugal,Defender,Wolverhampton Wanderers,703,0,0,0,0,0,1,0
Ruben Loftus Cheek,26,1996/01/23,England,Midfielder,Chelsea,983,2,0,6,0,0,0,0
Rui Pedro dos Santos Patrício,34,1988/02/15,Portugal,Goalkeeper,Wolverhampton Wanderers,3330,0,0,0,0,0,0,0
Ryan Bennett,32,1990/03/06,England,Defender,Wolverhampton Wanderers,3060,0,0,1,0,0,12,0
Ryan Bertrand,33,1989/08/05,England,Defender,Southampton,2160,0,0,1,0,0,8,0
Ryan Fraser,28,1994/02/24,Scotland,Midfielder,AFC Bournemouth,3173,14,0,7,0,0,2,0
Ryan Fredericks,30,1992/10/10,England,Midfielder,West Ham United,1085,0,0,1,0,0,5,0
Ryan Giles,22,2000/01/26,England,Midfielder,Wolverhampton Wanderers,0,0,0,0,0,0,0,0
Ryan Guno Babel,35,1986/12/19,Netherlands,Forward,Fulham,1260,3,0,5,0,0,3,0
Ryan Schofield,22,1999/12/11,England,Goalkeeper,Huddersfield Town,0,0,0,0,0,0,0,0
Ryan Sessegnon,22,2000/05/18,England,Defender,Fulham,2298,6,0,2,0,0,0,0
Sadio Mané,30,1992/04/10,Senegal,Forward,Liverpool,3086,1,0,22,0,0,2,0
Sam Gallagher,27,1995/09/15,England,Forward,Southampton,30,0,0,0,0,0,0,0
Sam Surridge,24,1998/07/28,England,Forward,AFC Bournemouth,11,0,0,0,0,0,0,0
Sam Vokes,33,1989/10/21,Wales,Forward,Burnley,913,0,0,3,0,0,0,0
Sam Woods,24,1998/09/11,England,Defender,Crystal Palace,0,0,0,0,0,0,0,0
Samir Nasri,35,1987/06/26,France,Midfielder,West Ham United,246,2,0,0,0,0,0,0
Sandro Ramirez,27,1995/07/09,Spain,Forward,Everton,0,0,0,0,0,0,0,0
Scott Dann,35,1987/02/14,England,Defender,Crystal Palace,660,1,0,0,0,0,1,0
Scott McTominay,25,1996/12/08,England,Midfielder,Manchester United,861,0,0,2,0,0,1,0
Sead Kolašinac,29,1993/06/20,Bosnia and Herzegovina,Defender,Arsenal,1891,5,0,0,0,0,5,0
Séamus Coleman,34,1988/10/11,Republic of Ireland,Defender,Everton,2560,2,0,2,0,0,1,0
Sean Longstaff,25,1997/10/30,England,Midfielder,Newcastle United,688,0,0,1,0,0,2,0
Sean Morrison,31,1991/01/08,England,Defender,Cardiff City,3040,3,0,1,0,0,6,0
Sebastian Prödl,35,1987/06/21,Austria,Defender,Watford,13,0,0,0,0,0,0,0
Serge Aurier,29,1992/12/24,Ivory Coast,Defender,Tottenham Hotspur,564,2,0,0,0,0,1,0
Sergio Aguero,34,1988/06/02,Argentina,Forward,Manchester City,2480,8,0,21,2,0,3,0
Sergio Germán Romero,35,1987/02/22,Argentina,Goalkeeper,Manchester United,0,0,0,0,0,0,0,0
Sergio Rico,29,1993/09/01,Spain,Goalkeeper,Fulham,2610,0,0,0,0,0,1,0
Shane Duffy,30,1992/01/01,Republic of Ireland,Defender,Brighton & Hove Albion,3088,1,0,5,0,0,5,1
Shane Long,35,1987/01/22,Republic of Ireland,Forward,Southampton,1269,1,0,5,0,0,3,0
Shinji Okazaki,36,1986/04/16,Japan,Forward,Leicester City,269,1,0,0,0,0,0,0
Shkodran Mustafi,30,1992/04/17,Germany,Defender,Arsenal,2617,0,0,2,0,0,9,0
Simon Francis,37,1985/02/16,England,Defender,AFC Bournemouth,1226,2,0,0,0,0,1,0
Simon Mignolet,34,1988/03/06,Belgium,Goalkeeper,Liverpool,0,0,0,0,0,0,0,0
Sokratis Papastathopoulos,34,1988/06/09,Greece,Defender,Arsenal,2199,2,0,1,0,0,12,0
Solomon March,28,1994/07/20,England,Midfielder,Brighton & Hove Albion,2473,5,0,1,0,0,1,0
Souleymane Bamba,37,1985/01/13,Ivory Coast,Defender,Cardiff City,2475,1,0,4,0,0,7,0
Stefan Marius Johansen,31,1991/01/08,Norway,Midfielder,Fulham,412,0,0,0,0,0,4,0
Stefano Okaka,33,1989/08/09,Italy,Forward,Watford,22,0,0,0,0,0,1,0
Stephan Lichtsteiner,38,1984/01/16,Switzerland,Defender,Arsenal,940,0,0,0,0,0,3,0
Stephen Ward,37,1985/08/20,Republic of Ireland,Defender,Burnley,230,0,0,0,0,0,1,0
Steve Cook,31,1991/04/19,England,Defender,AFC Bournemouth,2787,1,0,1,0,0,3,0
Steve Mounié,28,1994/09/29,Benin,Forward,Huddersfield Town,1777,3,0,2,0,0,2,1
Steven Davis,37,1985/01/01,Northern Ireland,Midfielder,Southampton,96,1,0,0,0,0,0,0
Steven Defour,34,1988/04/15,Belgium,Midfielder,Burnley,452,0,0,0,0,0,0,0
Stuart Armstrong,30,1992/03/30,Scotland,Midfielder,Southampton,1432,2,0,3,0,0,2,0
Sullay Kaikai,27,1995/08/26,England,Midfielder,Crystal Palace,0,0,0,0,0,0,0,0
Sung Yeung Ki,33,1989/01/24,South Korea,Midfielder,Newcastle United,1302,1,0,0,0,0,2,0
Tahith Chong,22,1999/12/04,Netherlands,Forward,Manchester United,36,0,0,0,0,0,0,0
Terence Kongolo,28,1994/02/14,Netherlands,Defender,Huddersfield Town,2722,1,0,1,0,0,4,0
Theo Walcott,33,1989/03/16,England,Forward,Everton,2122,2,0,5,0,0,1,0
Tim Ream,35,1987/10/05,USA,Defender,Fulham,2051,0,0,0,0,0,1,0
Timothy Eyoma,22,2000/01/29,England,Defender,Tottenham Hotspur,0,0,0,0,0,0,0,0
Timothy Fosu Mensah,24,1998/01/02,Netherlands,Defender,Fulham,795,0,0,0,0,0,3,0
Toby Alderweireld,33,1989/03/02,Belgium,Defender,Tottenham Hotspur,2924,0,0,0,0,0,3,0
Tom Cairney,31,1991/01/20,Scotland,Midfielder,Fulham,2198,1,0,1,0,0,0,0
Tom Cleverley,33,1989/08/12,England,Midfielder,Watford,470,0,0,1,0,0,2,0
Tom Davies,24,1998/06/30,England,Midfielder,Everton,975,0,0,0,0,0,3,0
Tom Heaton,36,1986/04/15,England,Goalkeeper,Burnley,1710,0,0,0,0,0,3,0
Tom Smith,30,1992/04/14,England,Defender,Huddersfield Town,1141,0,0,0,0,0,3,1
Trent Alexander Arnold,24,1998/10/07,England,Defender,Liverpool,2467,12,0,1,0,0,3,0
Troy Deeney,34,1988/06/29,England,Forward,Watford,2548,5,0,9,1,0,5,1
Tyias Browning,28,1994/05/27,England,Defender,Everton,0,0,0,0,0,0,0,0
Tyreke Johnson,24,1998/11/03,England,Defender,Southampton,0,0,0,0,0,0,0,0
Tyrone Mings,29,1993/03/13,England,Defender,AFC Bournemouth,141,0,0,0,0,0,0,0
Vicente Guaita,35,1987/01/10,Spain,Goalkeeper,Crystal Palace,1755,0,0,0,0,0,2,0
Vicente Iborra De La Fuente,34,1988/01/16,Spain,Midfielder,Leicester City,226,0,0,0,0,0,0,0
